pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
fist,1,right,1782948338.7467413,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037847,-0.027336,-0.041067,-0.026065,-0.048189,-0.062076,-0.003113,-0.049219,-0.059467,-0.020170,0.003226,-0.081594,-0.020467,-0.033538,-0.084939,-0.018560,-0.035506,-0.063478,-0.017252,-0.024056,-0.048764,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032129,-0.036429,-0.065770,0.029591,-0.035078,-0.049309,0.029083,-0.022039,-0.044568
fist,1,left,1782948338.747317,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038478,-0.026751,-0.041107,0.028788,-0.047502,-0.063256,0.005829,-0.050182,-0.062649,0.020170,0.003226,-0.081594,0.021778,-0.029257,-0.099062,0.020090,-0.040622,-0.080729,0.018402,-0.037442,-0.062390,0.000000,0.003975,-0.081300,0.000000,-0.040076,-0.088320,0.000000,-0.039689,-0.064848,0.000000,-0.026811,-0.050004,-0.017000,0.001900,-0.076400,-0.017884,-0.039762,-0.085019,-0.015632,-0.040444,-0.063057,-0.014426,-0.027214,-0.051299,-0.033100,-0.003774,-0.068300,-0.032479,-0.036496,-0.066681,-0.029885,-0.035630,-0.050196,-0.029224,-0.022735,-0.045096
fist,1,left,1782948338.9568002,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038478,-0.026751,-0.041107,0.028788,-0.047502,-0.063256,0.005829,-0.050182,-0.062649,0.020170,0.003226,-0.081594,0.021778,-0.029257,-0.099062,0.020090,-0.040622,-0.080729,0.018402,-0.037442,-0.062390,0.000000,0.003975,-0.081300,0.000000,-0.040076,-0.088320,0.000000,-0.039689,-0.064848,0.000000,-0.026811,-0.050004,-0.017000,0.001900,-0.076400,-0.018009,-0.039531,-0.086059,-0.015718,-0.040807,-0.064127,-0.014454,-0.027906,-0.052015,-0.033100,-0.003774,-0.068300,-0.032479,-0.036496,-0.066681,-0.029885,-0.035630,-0.050196,-0.029224,-0.022735,-0.045096
fist,1,right,1782948338.9570572,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037847,-0.027336,-0.041067,-0.026065,-0.048189,-0.062076,-0.003113,-0.049219,-0.059467,-0.020170,0.003226,-0.081594,-0.020477,-0.033528,-0.085052,-0.018570,-0.035562,-0.063597,-0.017258,-0.024158,-0.048848,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032129,-0.036429,-0.065770,0.029591,-0.035078,-0.049309,0.029083,-0.022039,-0.044568
fist,1,right,1782948339.159177,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037847,-0.027336,-0.041067,-0.026065,-0.048189,-0.062076,-0.003113,-0.049219,-0.059467,-0.020170,0.003226,-0.081594,-0.020528,-0.033470,-0.085615,-0.018619,-0.035836,-0.064194,-0.017289,-0.024660,-0.049273,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032129,-0.036429,-0.065770,0.029591,-0.035078,-0.049309,0.029083,-0.022039,-0.044568
fist,1,left,1782948339.1701655,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038562,-0.026625,-0.041147,0.029260,-0.047337,-0.063496,0.006337,-0.050363,-0.063268,0.020170,0.003226,-0.081594,0.021778,-0.029257,-0.099062,0.020090,-0.040622,-0.080729,0.018402,-0.037442,-0.062390,0.000000,0.003975,-0.081300,0.000000,-0.040076,-0.088320,0.000000,-0.039689,-0.064848,0.000000,-0.026811,-0.050004,-0.017000,0.001900,-0.076400,-0.018009,-0.039531,-0.086059,-0.015718,-0.040807,-0.064127,-0.014454,-0.027906,-0.052015,-0.033100,-0.003774,-0.068300,-0.032479,-0.036496,-0.066681,-0.029885,-0.035630,-0.050196,-0.029224,-0.022735,-0.045096
fist,1,left,1782948339.375924,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038590,-0.026582,-0.041161,0.029418,-0.047281,-0.063577,0.006510,-0.050422,-0.063476,0.020170,0.003226,-0.081594,0.021778,-0.029257,-0.099062,0.020090,-0.040622,-0.080729,0.018402,-0.037442,-0.062390,0.000000,0.003975,-0.081300,0.000000,-0.039904,-0.089328,0.000000,-0.040055,-0.065852,0.000000,-0.027520,-0.050717,-0.017000,0.001900,-0.076400,-0.018009,-0.039531,-0.086059,-0.015718,-0.040807,-0.064127,-0.014454,-0.027906,-0.052015,-0.033100,-0.003774,-0.068300,-0.032479,-0.036496,-0.066681,-0.029885,-0.035630,-0.050196,-0.029224,-0.022735,-0.045096
fist,1,right,1782948339.3885598,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037846,-0.027312,-0.041087,-0.026121,-0.048163,-0.062130,-0.003167,-0.049264,-0.059569,-0.020170,0.003226,-0.081594,-0.020528,-0.033470,-0.085615,-0.018619,-0.035836,-0.064194,-0.017289,-0.024660,-0.049273,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032129,-0.036429,-0.065770,0.029591,-0.035078,-0.049309,0.029083,-0.022039,-0.044568
fist,1,left,1782948339.5768814,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038646,-0.026495,-0.041189,0.029735,-0.047164,-0.063737,0.006860,-0.050537,-0.063895,0.020170,0.003226,-0.081594,0.021778,-0.029257,-0.099062,0.020090,-0.040622,-0.080729,0.018402,-0.037442,-0.062390,0.000000,0.003975,-0.081300,0.000000,-0.039771,-0.090026,0.000000,-0.040298,-0.066556,0.000000,-0.028007,-0.051222,-0.017000,0.001900,-0.076400,-0.018009,-0.039531,-0.086059,-0.015718,-0.040807,-0.064127,-0.014454,-0.027906,-0.052015,-0.033100,-0.003774,-0.068300,-0.032479,-0.036496,-0.066681,-0.029885,-0.035630,-0.050196,-0.029224,-0.022735,-0.045096
fist,1,right,1782948339.6206365,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037845,-0.027300,-0.041098,-0.026148,-0.048150,-0.062157,-0.003193,-0.049286,-0.059620,-0.020170,0.003226,-0.081594,-0.020528,-0.033470,-0.085615,-0.018619,-0.035836,-0.064194,-0.017289,-0.024660,-0.049273,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032129,-0.036429,-0.065770,0.029591,-0.035078,-0.049309,0.029083,-0.022039,-0.044568
