pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
index_point,1,left,1782948371.7161913,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038044,-0.027336,-0.040936,0.026484,-0.048189,-0.062068,0.003506,-0.049219,-0.059700,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026263,-0.000119,-0.139567,0.028107,-0.006275,-0.157117,0.000000,0.003975,-0.081300,0.000000,-0.040237,-0.087224,0.000000,-0.039267,-0.063769,0.000000,-0.026024,-0.049249,-0.017000,0.001900,-0.076400,-0.017678,-0.040097,-0.083224,-0.015494,-0.039818,-0.061246,-0.014384,-0.026084,-0.050071,-0.033100,-0.003774,-0.068300,-0.032479,-0.036496,-0.066681,-0.029885,-0.035630,-0.050196,-0.029224,-0.022735,-0.045096
index_point,1,right,1782948371.7175279,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037847,-0.027336,-0.041067,-0.026065,-0.048189,-0.062076,-0.003113,-0.049219,-0.059467,-0.020170,0.003226,-0.081594,-0.023764,-0.004166,-0.117585,-0.024957,-0.022170,-0.129523,-0.025200,-0.040699,-0.131959,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032129,-0.036429,-0.065770,0.029591,-0.035078,-0.049309,0.029083,-0.022039,-0.044568
index_point,1,left,1782948371.930831,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038044,-0.027336,-0.040936,0.026484,-0.048189,-0.062068,0.003506,-0.049219,-0.059700,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,-0.039454,-0.091485,0.000000,-0.040817,-0.068049,0.000000,-0.029084,-0.052284,-0.017000,0.001900,-0.076400,-0.017768,-0.039959,-0.084020,-0.015553,-0.040101,-0.062043,-0.014401,-0.026584,-0.050611,-0.033100,-0.003774,-0.068300,-0.033011,-0.036540,-0.068068,-0.030334,-0.036416,-0.051574,-0.029439,-0.023761,-0.045938
index_point,1,right,1782948371.9311032,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038088,-0.025070,-0.042552,-0.031571,-0.044960,-0.066572,-0.009658,-0.051762,-0.069439,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026274,0.000663,-0.139674,-0.028164,-0.004062,-0.157658,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032187,-0.036442,-0.065921,0.029632,-0.035172,-0.049457,0.029097,-0.022156,-0.044656
index_point,1,left,1782948372.145861,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038044,-0.027336,-0.040936,0.026484,-0.048189,-0.062068,0.003506,-0.049219,-0.059700,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,-0.038771,-0.094052,0.000000,-0.041728,-0.070763,0.000000,-0.031114,-0.054224,-0.017000,0.001900,-0.076400,-0.017884,-0.039762,-0.085019,-0.015632,-0.040444,-0.063057,-0.014426,-0.027214,-0.051299,-0.033100,-0.003774,-0.068300,-0.033539,-0.036518,-0.069449,-0.030791,-0.037133,-0.052978,-0.029668,-0.024743,-0.046818
index_point,1,right,1782948372.1460755,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038182,-0.024620,-0.042776,-0.032698,-0.044163,-0.067332,-0.011290,-0.051886,-0.071419,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032479,-0.036495,-0.066681,0.029845,-0.035630,-0.050202,0.029170,-0.022734,-0.045105
index_point,1,right,1782948372.3472826,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038236,-0.024378,-0.042888,-0.033303,-0.043718,-0.067721,-0.012204,-0.051899,-0.072469,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032479,-0.036495,-0.066681,0.029845,-0.035630,-0.050202,0.029170,-0.022734,-0.045105
index_point,1,left,1782948372.3485951,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038205,-0.027131,-0.040993,0.027318,-0.047962,-0.062500,0.004318,-0.049582,-0.060754,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,-0.038349,-0.095389,0.000000,-0.042194,-0.072230,0.000000,-0.032232,-0.055290,-0.017000,0.001900,-0.076400,-0.018030,-0.039488,-0.086237,-0.015734,-0.040870,-0.064312,-0.014459,-0.028029,-0.052137,-0.033100,-0.003774,-0.068300,-0.033834,-0.036477,-0.070222,-0.031052,-0.037506,-0.053778,-0.029803,-0.025275,-0.047329
index_point,1,right,1782948372.554611,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038262,-0.024265,-0.042939,-0.033586,-0.043506,-0.067899,-0.012641,-0.051893,-0.072958,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032479,-0.036495,-0.066681,0.029845,-0.035630,-0.050202,0.029170,-0.022734,-0.045105
index_point,1,left,1782948372.5671282,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.038292,-0.027015,-0.041027,0.027778,-0.047826,-0.062738,0.004780,-0.049775,-0.061342,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,-0.038164,-0.095933,0.000000,-0.042380,-0.072839,0.000000,-0.032699,-0.055737,-0.017000,0.001900,-0.076400,-0.018097,-0.039355,-0.086775,-0.015782,-0.041060,-0.064875,-0.014474,-0.028406,-0.052509,-0.033100,-0.003774,-0.068300,-0.034101,-0.036421,-0.070922,-0.031291,-0.037825,-0.054510,-0.029929,-0.025746,-0.047803
