pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
thumbs_up,1,left,1782948404.7297482,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041164,-0.015645,-0.044199,0.054833,-0.022370,-0.072180,0.058121,-0.030011,-0.093755,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.038524,-0.094851,0.000000,-0.042009,-0.071635,0.000000,-0.031779,-0.054855,-0.017000,0.001900,-0.076400,-0.018873,-0.037449,-0.092491,-0.016401,-0.042981,-0.071250,-0.014718,-0.032850,-0.056785,-0.033100,-0.003774,-0.068300,-0.036537,-0.035078,-0.077352,-0.033649,-0.040314,-0.061748,-0.031243,-0.030352,-0.052382
thumbs_up,1,right,1782948404.7300763,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039835,-0.018391,-0.044485,-0.047660,-0.029873,-0.073154,-0.040604,-0.041212,-0.092030,-0.020170,0.003226,-0.081594,-0.020183,-0.033691,-0.081751,-0.018296,-0.033783,-0.060198,-0.017099,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.037920,-0.096617,0.000000,-0.042611,-0.073614,0.000000,-0.033293,-0.056312,0.017000,0.001900,-0.076400,0.017865,-0.039907,-0.084289,0.015458,-0.040198,-0.062335,0.014196,-0.026758,-0.050823,0.033100,-0.003774,-0.068300,0.038173,-0.033237,-0.081714,0.035028,-0.041454,-0.067508,0.031755,-0.033945,-0.056299
thumbs_up,1,left,1782948404.931055,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041157,-0.016103,-0.044124,0.054164,-0.023653,-0.072211,0.055833,-0.032137,-0.093656,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.038849,-0.093786,0.000000,-0.041633,-0.070475,0.000000,-0.030893,-0.054018,-0.017000,0.001900,-0.076400,-0.018486,-0.038475,-0.089760,-0.016078,-0.042095,-0.068104,-0.014581,-0.030632,-0.054646,-0.033100,-0.003774,-0.068300,-0.035854,-0.035613,-0.075541,-0.032949,-0.039689,-0.059599,-0.030838,-0.028967,-0.051035
thumbs_up,1,right,1782948404.9312663,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039777,-0.018610,-0.044459,-0.047174,-0.030449,-0.073097,-0.039441,-0.041940,-0.091612,-0.020170,0.003226,-0.081594,-0.020183,-0.033691,-0.081751,-0.018296,-0.033783,-0.060198,-0.017099,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.037920,-0.096617,0.000000,-0.042611,-0.073614,0.000000,-0.033293,-0.056312,0.017000,0.001900,-0.076400,0.017708,-0.040124,-0.083060,0.015374,-0.039760,-0.061099,0.014193,-0.025983,-0.049983,0.033100,-0.003774,-0.068300,0.037822,-0.033703,-0.080776,0.034630,-0.041269,-0.066223,0.031507,-0.033155,-0.055399
thumbs_up,1,left,1782948405.1516654,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041143,-0.016605,-0.044036,0.053403,-0.025043,-0.072205,0.053304,-0.034352,-0.093370,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.038771,-0.094052,0.000000,-0.041728,-0.070763,0.000000,-0.031114,-0.054224,-0.017000,0.001900,-0.076400,-0.018383,-0.038724,-0.088995,-0.015996,-0.041832,-0.067257,-0.014550,-0.030038,-0.054084,-0.033100,-0.003774,-0.068300,-0.035632,-0.035759,-0.074953,-0.032728,-0.039470,-0.058922,-0.030714,-0.028531,-0.050614
thumbs_up,1,right,1782948405.1520338,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.040857,-0.014063,-0.044615,-0.056298,-0.017880,-0.072219,-0.064556,-0.022156,-0.093390,-0.020170,0.003226,-0.081594,-0.020183,-0.033691,-0.081751,-0.018296,-0.033783,-0.060198,-0.017099,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.037525,-0.097657,0.000000,-0.042955,-0.074817,0.000000,-0.034214,-0.057215,0.017000,0.001900,-0.076400,0.017843,-0.039939,-0.084123,0.015446,-0.040139,-0.062166,0.014195,-0.026653,-0.050708,0.033100,-0.003774,-0.068300,0.037822,-0.033703,-0.080776,0.034630,-0.041269,-0.066223,0.031507,-0.033155,-0.055399
thumbs_up,1,left,1782948405.37151,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041138,-0.016740,-0.044010,0.053192,-0.025415,-0.072197,0.052621,-0.034929,-0.093264,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.038349,-0.095389,0.000000,-0.042194,-0.072230,0.000000,-0.032232,-0.055290,-0.017000,0.001900,-0.076400,-0.018434,-0.038602,-0.089375,-0.016036,-0.041963,-0.067676,-0.014565,-0.030331,-0.054362,-0.033100,-0.003774,-0.068300,-0.035632,-0.035759,-0.074953,-0.032728,-0.039470,-0.058922,-0.030714,-0.028531,-0.050614
thumbs_up,1,right,1782948405.3725538,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.041070,-0.012777,-0.044546,-0.058411,-0.014176,-0.071236,-0.070443,-0.015515,-0.090937,-0.020170,0.003226,-0.081594,-0.020183,-0.033691,-0.081751,-0.018296,-0.033783,-0.060198,-0.017099,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.037098,-0.098701,0.000000,-0.043284,-0.076054,0.000000,-0.035151,-0.058164,0.017000,0.001900,-0.076400,0.017961,-0.039763,-0.085011,0.015512,-0.040445,-0.063070,0.014201,-0.027214,-0.051324,0.033100,-0.003774,-0.068300,0.037822,-0.033703,-0.080776,0.034630,-0.041269,-0.066223,0.031507,-0.033155,-0.055399
thumbs_up,1,left,1782948405.5728512,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041140,-0.016677,-0.044022,0.053290,-0.025244,-0.072201,0.052937,-0.034664,-0.093315,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.038349,-0.095389,0.000000,-0.042194,-0.072230,0.000000,-0.032232,-0.055290,-0.017000,0.001900,-0.076400,-0.018434,-0.038602,-0.089375,-0.016036,-0.041963,-0.067676,-0.014565,-0.030331,-0.054362,-0.033100,-0.003774,-0.068300,-0.035854,-0.035613,-0.075541,-0.032949,-0.039689,-0.059599,-0.030838,-0.028967,-0.051035
thumbs_up,1,right,1782948405.5731938,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.040845,-0.014150,-0.044615,-0.056153,-0.018130,-0.072271,-0.064178,-0.022579,-0.093495,-0.020170,0.003226,-0.081594,-0.020183,-0.033691,-0.081751,-0.018296,-0.033783,-0.060198,-0.017099,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.037098,-0.098701,0.000000,-0.043284,-0.076054,0.000000,-0.035151,-0.058164,0.017000,0.001900,-0.076400,0.017961,-0.039763,-0.085011,0.015512,-0.040445,-0.063070,0.014201,-0.027214,-0.051324,0.033100,-0.003774,-0.068300,0.037822,-0.033703,-0.080776,0.034630,-0.041269,-0.066223,0.031507,-0.033155,-0.055399
thumbs_up,1,left,1782948405.7842495,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041142,-0.016615,-0.044034,0.053387,-0.025072,-0.072204,0.053252,-0.034397,-0.093363,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.038349,-0.095389,0.000000,-0.042194,-0.072230,0.000000,-0.032232,-0.055290,-0.017000,0.001900,-0.076400,-0.018538,-0.038344,-0.090143,-0.016120,-0.042223,-0.068533,-0.014598,-0.030932,-0.054934,-0.033100,-0.003774,-0.068300,-0.036193,-0.035364,-0.076438,-0.033292,-0.040008,-0.060651,-0.031034,-0.029646,-0.051692
thumbs_up,1,right,1782948405.784462,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.040320,-0.016513,-0.044622,-0.051657,-0.024791,-0.073223,-0.051092,-0.033957,-0.094443,-0.020170,0.003226,-0.081594,-0.020183,-0.033691,-0.081751,-0.018296,-0.033783,-0.060198,-0.017099,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.037098,-0.098701,0.000000,-0.043284,-0.076054,0.000000,-0.035151,-0.058164,0.017000,0.001900,-0.076400,0.017961,-0.039763,-0.085011,0.015512,-0.040445,-0.063070,0.014201,-0.027214,-0.051324,0.033100,-0.003774,-0.068300,0.037822,-0.033703,-0.080776,0.034630,-0.041269,-0.066223,0.031507,-0.033155,-0.055399
thumbs_up,1,left,1782948405.9943955,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041151,-0.016347,-0.044082,0.053798,-0.024330,-0.072213,0.054605,-0.033229,-0.093539,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.038349,-0.095389,0.000000,-0.042194,-0.072230,0.000000,-0.032232,-0.055290,-0.017000,0.001900,-0.076400,-0.018538,-0.038344,-0.090143,-0.016120,-0.042223,-0.068533,-0.014598,-0.030932,-0.054934,-0.033100,-0.003774,-0.068300,-0.036193,-0.035364,-0.076438,-0.033292,-0.040008,-0.060651,-0.031034,-0.029646,-0.051692
thumbs_up,1,right,1782948406.0049849,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.040092,-0.017416,-0.044574,-0.049776,-0.027263,-0.073284,-0.045951,-0.037673,-0.093573,-0.020170,0.003226,-0.081594,-0.020183,-0.033691,-0.081751,-0.018296,-0.033783,-0.060198,-0.017099,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.037098,-0.098701,0.000000,-0.043284,-0.076054,0.000000,-0.035151,-0.058164,0.017000,0.001900,-0.076400,0.017961,-0.039763,-0.085011,0.015512,-0.040445,-0.063070,0.014201,-0.027214,-0.051324,0.033100,-0.003774,-0.068300,0.037939,-0.033552,-0.081090,0.034762,-0.041336,-0.066650,0.031588,-0.033422,-0.055694
