pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
peace,1,left,1782948437.7935305,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039074,-0.025751,-0.041437,0.032312,-0.046078,-0.065020,0.009918,-0.051335,-0.067366,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.037002,-0.034639,-0.078587,-0.034147,-0.040691,-0.063276,-0.031544,-0.031330,-0.053360
peace,1,right,1782948437.795782,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037868,-0.026495,-0.041707,-0.028052,-0.047164,-0.063876,-0.005190,-0.050537,-0.063107,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018368,-0.039061,-0.087855,0.015764,-0.041442,-0.066050,0.014243,-0.029193,-0.053307,0.033100,-0.003774,-0.068300,0.036537,-0.035078,-0.077352,0.033284,-0.040331,-0.061826,0.030740,-0.030377,-0.052490
peace,1,left,1782948437.994583,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039301,-0.025298,-0.041593,0.033785,-0.045345,-0.065732,0.011843,-0.051652,-0.069393,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.037392,-0.034220,-0.079628,-0.034579,-0.040974,-0.064605,-0.031814,-0.032171,-0.054231
peace,1,right,1782948438.0151868,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037868,-0.026495,-0.041707,-0.028052,-0.047164,-0.063876,-0.005190,-0.050537,-0.063107,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018368,-0.039061,-0.087855,0.015764,-0.041442,-0.066050,0.014243,-0.029193,-0.053307,0.033100,-0.003774,-0.068300,0.036885,-0.034755,-0.078277,0.033633,-0.040621,-0.062972,0.030928,-0.031110,-0.053227
peace,1,left,1782948438.214704,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039326,-0.025246,-0.041611,0.033949,-0.045259,-0.065810,0.012065,-0.051680,-0.069620,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.037470,-0.034131,-0.079836,-0.034668,-0.041026,-0.064876,-0.031871,-0.032341,-0.054411
peace,1,right,1782948438.2176619,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037868,-0.026495,-0.041707,-0.028052,-0.047164,-0.063876,-0.005190,-0.050537,-0.063107,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018368,-0.039061,-0.087855,0.015764,-0.041442,-0.066050,0.014243,-0.029193,-0.053307,0.033100,-0.003774,-0.068300,0.036885,-0.034755,-0.078277,0.033633,-0.040621,-0.062972,0.030928,-0.031110,-0.053227
peace,1,left,1782948438.4183328,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039399,-0.025089,-0.041665,0.034442,-0.044991,-0.066044,0.012745,-0.051755,-0.070305,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.037705,-0.033850,-0.080464,-0.034937,-0.041175,-0.065703,-0.032045,-0.032862,-0.054967
peace,1,right,1782948438.4302964,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037868,-0.026495,-0.041707,-0.028052,-0.047164,-0.063876,-0.005190,-0.050537,-0.063107,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018368,-0.039061,-0.087855,0.015764,-0.041442,-0.066050,0.014243,-0.029193,-0.053307,0.033100,-0.003774,-0.068300,0.036885,-0.034755,-0.078277,0.033633,-0.040621,-0.062972,0.030928,-0.031110,-0.053227
peace,1,left,1782948438.6275003,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039459,-0.024955,-0.041711,0.034853,-0.044761,-0.066238,0.013325,-0.051806,-0.070879,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.037881,-0.033628,-0.080932,-0.035141,-0.041276,-0.066330,-0.032180,-0.033248,-0.055397
peace,1,right,1782948438.6400573,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037872,-0.026451,-0.041736,-0.028160,-0.047104,-0.063966,-0.005312,-0.050595,-0.063303,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018482,-0.038840,-0.088604,0.015842,-0.041706,-0.066862,0.014261,-0.029759,-0.053843,0.033100,-0.003774,-0.068300,0.036885,-0.034755,-0.078277,0.033633,-0.040621,-0.062972,0.030928,-0.031110,-0.053227
