pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
three,1,left,1782948470.8214593,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040962,-0.019072,-0.043503,0.049155,-0.031653,-0.071603,0.041146,-0.043400,-0.089838,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.021475,-0.027661,-0.106681,-0.019402,-0.044600,-0.092657,-0.016817,-0.046019,-0.075163,-0.033100,-0.003774,-0.068300,-0.042150,-0.023933,-0.092496,-0.041533,-0.039390,-0.086179,-0.037912,-0.042988,-0.073269
three,1,right,1782948470.8218417,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039225,-0.020615,-0.044121,-0.042549,-0.035531,-0.072077,-0.029166,-0.047512,-0.086637,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.019189,-0.037282,-0.092856,0.016380,-0.043105,-0.071736,0.014440,-0.033188,-0.057154,0.033100,-0.003774,-0.068300,0.041567,-0.025940,-0.090898,0.039893,-0.040495,-0.082862,0.035801,-0.041860,-0.069666
three,1,right,1782948471.0302048,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038884,-0.021851,-0.043812,-0.039572,-0.038446,-0.070999,-0.023134,-0.049880,-0.082563,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018550,-0.038704,-0.089040,0.015889,-0.041855,-0.067340,0.014273,-0.030087,-0.054163,0.033100,-0.003774,-0.068300,0.039896,-0.030262,-0.086353,0.037221,-0.041750,-0.074518,0.033333,-0.037976,-0.061735
three,1,left,1782948471.0407875,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040946,-0.019204,-0.043470,0.048902,-0.031995,-0.071544,0.040515,-0.043799,-0.089571,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.021475,-0.027661,-0.106681,-0.019402,-0.044600,-0.092657,-0.016817,-0.046019,-0.075163,-0.033100,-0.003774,-0.068300,-0.042150,-0.023933,-0.092496,-0.041533,-0.039390,-0.086179,-0.037912,-0.042988,-0.073269
three,1,left,1782948471.2416918,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040946,-0.019204,-0.043470,0.048902,-0.031995,-0.071544,0.040515,-0.043799,-0.089571,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.021402,-0.027994,-0.106363,-0.019297,-0.044670,-0.092033,-0.016723,-0.045723,-0.074512,-0.033100,-0.003774,-0.068300,-0.042295,-0.023378,-0.092893,-0.041828,-0.039048,-0.087110,-0.038265,-0.043252,-0.074368
three,1,right,1782948471.2419024,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038806,-0.022139,-0.043728,-0.038869,-0.039096,-0.070699,-0.021785,-0.050304,-0.081522,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.039389,-0.031266,-0.084983,0.036529,-0.041788,-0.072321,0.032795,-0.036772,-0.059926
three,1,left,1782948471.4486616,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040938,-0.019270,-0.043453,0.048774,-0.032165,-0.071513,0.040198,-0.043996,-0.089434,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.021366,-0.028160,-0.106202,-0.019245,-0.044704,-0.091722,-0.016677,-0.045574,-0.074190,-0.033100,-0.003774,-0.068300,-0.042295,-0.023378,-0.092893,-0.041828,-0.039048,-0.087110,-0.038265,-0.043252,-0.074368
three,1,right,1782948471.4614797,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038803,-0.022149,-0.043724,-0.038843,-0.039119,-0.070688,-0.021735,-0.050319,-0.081483,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.039315,-0.031403,-0.084783,0.036431,-0.041783,-0.072010,0.032723,-0.036596,-0.059678
three,1,left,1782948471.668923,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040922,-0.019403,-0.043420,0.048516,-0.032504,-0.071450,0.039563,-0.044383,-0.089153,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.021185,-0.028975,-0.105384,-0.018988,-0.044837,-0.090170,-0.016453,-0.044797,-0.072612,-0.033100,-0.003774,-0.068300,-0.042295,-0.023378,-0.092893,-0.041828,-0.039048,-0.087110,-0.038265,-0.043252,-0.074368
three,1,right,1782948471.6692038,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038769,-0.022276,-0.043685,-0.038533,-0.039402,-0.070549,-0.021148,-0.050490,-0.081014,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018540,-0.038724,-0.088976,0.015882,-0.041833,-0.067271,0.014271,-0.030038,-0.054116,0.033100,-0.003774,-0.068300,0.039315,-0.031403,-0.084783,0.036431,-0.041783,-0.072010,0.032723,-0.036596,-0.059678
