pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
pinch,1,right,1782948503.8361788,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039250,-0.020527,-0.044140,-0.042757,-0.035317,-0.072140,-0.029605,-0.047311,-0.086899,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031529,0.000360,-0.139333,0.035464,-0.002593,-0.156378,0.033100,-0.003774,-0.068300,0.037470,-0.034131,-0.079836,0.034245,-0.041050,-0.064972,0.031276,-0.032375,-0.054547
pinch,1,left,1782948503.8380778,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040229,-0.022818,-0.042429,0.040845,-0.040584,-0.068867,0.023093,-0.051113,-0.079292,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002255,-0.149320,0.000000,-0.001170,-0.168671,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031529,0.000360,-0.139333,-0.035464,-0.002593,-0.156377,-0.033100,-0.003774,-0.068300,-0.035305,-0.035950,-0.074090,-0.032410,-0.039137,-0.057945,-0.030538,-0.027903,-0.050006
pinch,1,left,1782948504.0383217,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040276,-0.022653,-0.042482,0.041267,-0.040228,-0.069036,0.023879,-0.050941,-0.079877,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002255,-0.149320,0.000000,-0.001170,-0.168671,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031529,0.000360,-0.139333,-0.035464,-0.002593,-0.156377,-0.033100,-0.003774,-0.068300,-0.035305,-0.035950,-0.074090,-0.032410,-0.039137,-0.057945,-0.030538,-0.027903,-0.050006
pinch,1,right,1782948504.0385532,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039250,-0.020527,-0.044140,-0.042757,-0.035317,-0.072140,-0.029605,-0.047311,-0.086899,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031529,0.000360,-0.139333,0.035464,-0.002593,-0.156378,0.033100,-0.003774,-0.068300,0.037470,-0.034131,-0.079836,0.034245,-0.041050,-0.064972,0.031276,-0.032375,-0.054547
pinch,1,left,1782948504.2393653,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040291,-0.022601,-0.042498,0.041398,-0.040115,-0.069088,0.024126,-0.050884,-0.080059,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002255,-0.149320,0.000000,-0.001170,-0.168671,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031529,0.000360,-0.139333,-0.035464,-0.002593,-0.156377,-0.033100,-0.003774,-0.068300,-0.035305,-0.035950,-0.074090,-0.032410,-0.039137,-0.057945,-0.030538,-0.027903,-0.050006
pinch,1,right,1782948504.2395835,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039250,-0.020527,-0.044140,-0.042757,-0.035317,-0.072140,-0.029605,-0.047311,-0.086899,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031529,0.000360,-0.139333,0.035464,-0.002593,-0.156378,0.033100,-0.003774,-0.068300,0.037470,-0.034131,-0.079836,0.034245,-0.041050,-0.064972,0.031276,-0.032375,-0.054547
pinch,1,left,1782948504.4475374,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040294,-0.022590,-0.042502,0.041424,-0.040093,-0.069099,0.024175,-0.050872,-0.080096,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002255,-0.149320,0.000000,-0.001170,-0.168671,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031529,0.000360,-0.139333,-0.035464,-0.002593,-0.156377,-0.033100,-0.003774,-0.068300,-0.035305,-0.035950,-0.074090,-0.032410,-0.039137,-0.057945,-0.030538,-0.027903,-0.050006
pinch,1,right,1782948504.4598873,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039250,-0.020527,-0.044140,-0.042757,-0.035317,-0.072140,-0.029605,-0.047311,-0.086899,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031529,0.000360,-0.139333,0.035464,-0.002593,-0.156378,0.033100,-0.003774,-0.068300,0.037470,-0.034131,-0.079836,0.034245,-0.041050,-0.064972,0.031276,-0.032375,-0.054547
pinch,1,left,1782948504.6530647,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040328,-0.022465,-0.042541,0.041738,-0.039819,-0.069222,0.024773,-0.050727,-0.080529,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002255,-0.149320,0.000000,-0.001170,-0.168671,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031529,0.000360,-0.139333,-0.035464,-0.002593,-0.156377,-0.033100,-0.003774,-0.068300,-0.035305,-0.035950,-0.074090,-0.032410,-0.039137,-0.057945,-0.030538,-0.027903,-0.050006
pinch,1,right,1782948504.665636,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039399,-0.020014,-0.044238,-0.043974,-0.034052,-0.072470,-0.032224,-0.046062,-0.088357,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031529,0.000360,-0.139333,0.035464,-0.002593,-0.156378,0.033100,-0.003774,-0.068300,0.039064,-0.031754,-0.084276,0.036167,-0.041876,-0.071300,0.032544,-0.036430,-0.059055
