pose,take,hand,wall_time,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
open_palm,1,right,1782948305.7219381,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.041088,-0.012634,-0.044538,-0.058625,-0.013763,-0.071112,-0.070976,-0.014806,-0.090632,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026284,0.001666,-0.139770,-0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002732,-0.149350,0.000000,0.000324,-0.168854,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031538,0.001078,-0.139370,0.035515,-0.000409,-0.156596,0.033100,-0.003774,-0.068300,0.044843,-0.003774,-0.098891,0.050825,-0.004537,-0.114475,0.055771,-0.006031,-0.127360
open_palm,1,left,1782948305.7222888,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041132,-0.012868,-0.044500,0.058434,-0.014440,-0.071205,0.070321,-0.015970,-0.090979,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026286,0.001888,-0.139785,0.028224,-0.000427,-0.158229,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031531,0.000511,-0.139342,-0.035478,-0.002130,-0.156436,-0.033100,-0.003774,-0.068300,-0.044843,-0.003774,-0.098891,-0.050821,-0.004752,-0.114464,-0.055746,-0.006706,-0.127296
open_palm,1,left,1782948305.9301198,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041132,-0.012868,-0.044500,0.058434,-0.014440,-0.071205,0.070321,-0.015970,-0.090979,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026286,0.001888,-0.139785,0.028224,-0.000427,-0.158229,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031531,0.000511,-0.139342,-0.035478,-0.002130,-0.156436,-0.033100,-0.003774,-0.068300,-0.044843,-0.003774,-0.098891,-0.050821,-0.004752,-0.114464,-0.055746,-0.006706,-0.127296
open_palm,1,right,1782948305.9409645,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.041088,-0.012634,-0.044538,-0.058625,-0.013763,-0.071112,-0.070976,-0.014806,-0.090632,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026284,0.001666,-0.139770,-0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002732,-0.149350,0.000000,0.000324,-0.168854,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031538,0.001078,-0.139370,0.035515,-0.000409,-0.156596,0.033100,-0.003774,-0.068300,0.044843,-0.003774,-0.098891,0.050825,-0.004537,-0.114475,0.055771,-0.006031,-0.127360
open_palm,1,left,1782948306.143179,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041132,-0.012868,-0.044500,0.058434,-0.014440,-0.071205,0.070321,-0.015970,-0.090979,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026286,0.001888,-0.139785,0.028224,-0.000427,-0.158229,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031531,0.000511,-0.139342,-0.035478,-0.002130,-0.156436,-0.033100,-0.003774,-0.068300,-0.044843,-0.003774,-0.098891,-0.050821,-0.004752,-0.114464,-0.055746,-0.006706,-0.127296
open_palm,1,right,1782948306.1434789,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.041088,-0.012634,-0.044538,-0.058625,-0.013763,-0.071112,-0.070976,-0.014806,-0.090632,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026284,0.001666,-0.139770,-0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002732,-0.149350,0.000000,0.000324,-0.168854,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031538,0.001078,-0.139370,0.035515,-0.000409,-0.156596,0.033100,-0.003774,-0.068300,0.044843,-0.003774,-0.098891,0.050825,-0.004537,-0.114475,0.055771,-0.006031,-0.127360
open_palm,1,left,1782948306.3502898,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041132,-0.012868,-0.044500,0.058434,-0.014440,-0.071205,0.070321,-0.015970,-0.090979,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026286,0.001888,-0.139785,0.028224,-0.000427,-0.158229,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031531,0.000511,-0.139342,-0.035478,-0.002130,-0.156436,-0.033100,-0.003774,-0.068300,-0.044843,-0.003774,-0.098891,-0.050821,-0.004752,-0.114464,-0.055746,-0.006706,-0.127296
open_palm,1,right,1782948306.3514647,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.041088,-0.012634,-0.044538,-0.058625,-0.013763,-0.071112,-0.070976,-0.014806,-0.090632,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026284,0.001666,-0.139770,-0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002732,-0.149350,0.000000,0.000324,-0.168854,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031531,0.000511,-0.139343,0.035478,-0.002130,-0.156436,0.033100,-0.003774,-0.068300,0.044843,-0.003774,-0.098891,0.050825,-0.004537,-0.114475,0.055771,-0.006031,-0.127360
open_palm,1,left,1782948306.5559762,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041132,-0.012868,-0.044500,0.058434,-0.014440,-0.071205,0.070321,-0.015970,-0.090979,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026286,0.001888,-0.139785,0.028224,-0.000427,-0.158229,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031531,0.000511,-0.139342,-0.035478,-0.002130,-0.156436,-0.033100,-0.003774,-0.068300,-0.044843,-0.003774,-0.098891,-0.050821,-0.004752,-0.114464,-0.055746,-0.006706,-0.127296
open_palm,1,right,1782948306.5562055,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.041088,-0.012634,-0.044538,-0.058625,-0.013763,-0.071112,-0.070976,-0.014806,-0.090632,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026284,0.001666,-0.139770,-0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002732,-0.149350,0.000000,0.000324,-0.168854,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031531,0.000511,-0.139343,0.035478,-0.002130,-0.156436,0.033100,-0.003774,-0.068300,0.044843,-0.003774,-0.098891,0.050825,-0.004537,-0.114475,0.055771,-0.006031,-0.127360
