pose,hand,n_frames,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
fist,left,72,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039471,-0.024929,-0.041720,0.034936,-0.044714,-0.066276,0.013442,-0.051815,-0.070994,0.020170,0.003226,-0.081594,0.020839,-0.032918,-0.089081,0.018953,-0.037329,-0.067984,0.017531,-0.027639,-0.052066,0.000000,0.003975,-0.081300,0.000000,-0.039698,-0.090383,0.000000,-0.040423,-0.066918,0.000000,-0.028262,-0.051480,-0.017000,0.001900,-0.076400,-0.018434,-0.038602,-0.089375,-0.016036,-0.041963,-0.067676,-0.014565,-0.030331,-0.054362,-0.033100,-0.003774,-0.068300,-0.032796,-0.036530,-0.067507,-0.030151,-0.036107,-0.051013,-0.029350,-0.023351,-0.045592
fist,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.037847,-0.027336,-0.041067,-0.026065,-0.048189,-0.062076,-0.003113,-0.049219,-0.059467,-0.020170,0.003226,-0.081594,-0.020528,-0.033470,-0.085615,-0.018619,-0.035836,-0.064194,-0.017289,-0.024660,-0.049273,0.000000,0.003975,-0.081300,0.000000,-0.040629,-0.081821,0.000000,-0.036822,-0.058655,0.000000,-0.021916,-0.045848,0.017000,0.001900,-0.076400,0.017074,-0.040646,-0.077226,0.015121,-0.037235,-0.055491,0.014300,-0.022047,-0.046359,0.033100,-0.003774,-0.068300,0.032129,-0.036429,-0.065770,0.029591,-0.035078,-0.049309,0.029083,-0.022039,-0.044568
index_point,left,72,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.039326,-0.025246,-0.041611,0.033949,-0.045259,-0.065810,0.012065,-0.051680,-0.069620,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,-0.035719,-0.101652,0.000000,-0.044133,-0.079736,0.000000,-0.037889,-0.061103,-0.017000,0.001900,-0.076400,-0.019236,-0.036368,-0.094875,-0.016732,-0.043674,-0.074181,-0.014878,-0.034907,-0.058870,-0.033100,-0.003774,-0.068300,-0.036193,-0.035364,-0.076438,-0.033292,-0.040008,-0.060651,-0.031034,-0.029646,-0.051692
index_point,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038914,-0.021744,-0.043842,-0.039833,-0.038202,-0.071106,-0.023642,-0.049709,-0.082942,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,-0.040076,-0.088320,0.000000,-0.039689,-0.064847,0.000000,-0.026810,-0.050003,0.017000,0.001900,-0.076400,0.017099,-0.040640,-0.077492,0.015127,-0.037366,-0.055737,0.014291,-0.022236,-0.046511,0.033100,-0.003774,-0.068300,0.033663,-0.036504,-0.069772,0.030752,-0.037293,-0.053336,0.029525,-0.024968,-0.047064
open_palm,left,72,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041132,-0.012868,-0.044500,0.058434,-0.014440,-0.071205,0.070321,-0.015970,-0.090979,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026286,0.001888,-0.139785,0.028224,-0.000427,-0.158229,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031531,0.000511,-0.139342,-0.035478,-0.002130,-0.156436,-0.033100,-0.003774,-0.068300,-0.044843,-0.003774,-0.098891,-0.050821,-0.004752,-0.114464,-0.055746,-0.006706,-0.127296
open_palm,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.041088,-0.012634,-0.044538,-0.058625,-0.013763,-0.071112,-0.070976,-0.014806,-0.090632,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026284,0.001666,-0.139770,-0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002732,-0.149350,0.000000,0.000324,-0.168854,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031531,0.000511,-0.139343,0.035478,-0.002130,-0.156436,0.033100,-0.003774,-0.068300,0.044843,-0.003774,-0.098891,0.050821,-0.004752,-0.114464,0.055746,-0.006706,-0.127296
peace,left,72,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040094,-0.023267,-0.042282,0.039674,-0.041529,-0.068385,0.020980,-0.051493,-0.077654,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002498,-0.149337,0.000000,-0.000406,-0.168773,-0.017000,0.001900,-0.076400,-0.020317,-0.032580,-0.101118,-0.017877,-0.044876,-0.082932,-0.015584,-0.040692,-0.065845,-0.033100,-0.003774,-0.068300,-0.039753,-0.030557,-0.085966,-0.037545,-0.041736,-0.073744,-0.033966,-0.037579,-0.060991
peace,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038162,-0.024712,-0.042732,-0.032468,-0.044329,-0.067181,-0.010950,-0.051871,-0.071018,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.018368,-0.039061,-0.087855,0.015764,-0.041442,-0.066050,0.014243,-0.029193,-0.053307,0.033100,-0.003774,-0.068300,0.037822,-0.033703,-0.080776,0.034630,-0.041269,-0.066223,0.031507,-0.033155,-0.055399
pinch,left,72,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040150,-0.023085,-0.042342,0.040155,-0.041149,-0.068585,0.021836,-0.051353,-0.078328,0.020170,0.003226,-0.081594,0.022955,-0.019433,-0.110606,0.022140,-0.039319,-0.102121,0.020595,-0.048694,-0.086027,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002255,-0.149320,0.000000,-0.001170,-0.168671,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031529,0.000360,-0.139333,-0.035464,-0.002593,-0.156377,-0.033100,-0.003774,-0.068300,-0.044843,-0.003774,-0.098891,-0.050805,-0.005346,-0.114422,-0.055644,-0.008573,-0.127028
pinch,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038752,-0.022339,-0.043666,-0.038377,-0.039542,-0.070479,-0.020857,-0.050572,-0.080777,-0.020170,0.003226,-0.081594,-0.022569,-0.024113,-0.106286,-0.021259,-0.040984,-0.092806,-0.019493,-0.044944,-0.074626,0.000000,0.003975,-0.081300,0.000000,0.003887,-0.125906,0.000000,-0.002384,-0.148530,0.000000,-0.013612,-0.164659,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031531,0.000511,-0.139343,0.035478,-0.002130,-0.156436,0.033100,-0.003774,-0.068300,0.044843,-0.003774,-0.098891,0.050804,-0.005346,-0.114422,0.055644,-0.008573,-0.127028
three,left,72,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.040575,-0.021443,-0.042856,0.044185,-0.037504,-0.070132,0.029691,-0.049194,-0.083841,0.020170,0.003226,-0.081594,0.024029,0.003226,-0.118309,0.026284,0.001666,-0.139770,0.028216,-0.001089,-0.158154,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.002255,-0.149320,0.000000,-0.001170,-0.168671,-0.017000,0.001900,-0.076400,-0.026573,0.001900,-0.117863,-0.031529,0.000360,-0.139333,-0.035464,-0.002593,-0.156377,-0.033100,-0.003774,-0.068300,-0.034139,-0.036412,-0.071023,-0.031324,-0.037870,-0.054617,-0.029947,-0.025814,-0.047873
three,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.038855,-0.021958,-0.043781,-0.039311,-0.038689,-0.070890,-0.022630,-0.050043,-0.082180,-0.020170,0.003226,-0.081594,-0.024029,0.003226,-0.118309,-0.026282,0.001434,-0.139752,-0.028207,-0.001784,-0.158062,0.000000,0.003975,-0.081300,0.000000,0.003975,-0.125907,0.000000,0.001640,-0.149267,0.000000,-0.003077,-0.168344,0.017000,0.001900,-0.076400,0.026573,0.001900,-0.117863,0.031529,0.000360,-0.139333,0.035464,-0.002593,-0.156378,0.033100,-0.003774,-0.068300,0.036193,-0.035364,-0.076438,0.032950,-0.040024,-0.060723,0.030565,-0.029667,-0.051790
thumbs_up,left,73,0.000000,0.000000,0.000000,0.025477,-0.012045,-0.022235,0.041138,-0.016740,-0.044010,0.053192,-0.025415,-0.072197,0.052621,-0.034929,-0.093264,0.020170,0.003226,-0.081594,0.020183,-0.033691,-0.081751,0.018297,-0.033783,-0.060198,0.017100,-0.021095,-0.046527,0.000000,0.003975,-0.081300,0.000000,-0.033815,-0.105001,0.000000,-0.044885,-0.084299,0.000000,-0.041099,-0.065015,-0.017000,0.001900,-0.076400,-0.019493,-0.035543,-0.096465,-0.016981,-0.044078,-0.076248,-0.015014,-0.036332,-0.060410,-0.033100,-0.003774,-0.068300,-0.039681,-0.030702,-0.085772,-0.037444,-0.041744,-0.073431,-0.033882,-0.037409,-0.060732
thumbs_up,right,72,0.000000,0.000000,0.000000,-0.025477,-0.012045,-0.022235,-0.039360,-0.020131,-0.044221,-0.043690,-0.034341,-0.072405,-0.031605,-0.046354,-0.088034,-0.020170,0.003226,-0.081594,-0.020393,-0.033604,-0.084122,-0.018490,-0.035091,-0.062622,-0.017210,-0.023315,-0.048166,0.000000,0.003975,-0.081300,0.000000,-0.032737,-0.106638,0.000000,-0.045143,-0.086707,0.000000,-0.042690,-0.067209,0.017000,0.001900,-0.076400,0.018104,-0.039531,-0.086049,0.015597,-0.040807,-0.064141,0.014212,-0.027907,-0.052042,0.033100,-0.003774,-0.068300,0.036905,-0.034736,-0.078329,0.033653,-0.040636,-0.063037,0.030939,-0.031151,-0.053269
